All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GCF_000172295.2_ASM17229v2_genomic
# misassemblies              9                                 
  # contig misassemblies     9                                 
    # c. relocations         3                                 
    # c. translocations      6                                 
    # c. inversions          0                                 
  # scaffold misassemblies   0                                 
    # s. relocations         0                                 
    # s. translocations      0                                 
    # s. inversions          0                                 
# misassembled contigs       6                                 
Misassembled contigs length  197042                            
# local misassemblies        5                                 
# scaffold gap ext. mis.     0                                 
# scaffold gap loc. mis.     0                                 
# unaligned mis. contigs     1                                 
# mismatches                 10294                             
# indels                     772                               
    # indels (<= 5 bp)       682                               
    # indels (> 5 bp)        90                                
Indels length                2997                              
