gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>MR616_chr_124	122483	124138	-1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx	xxxAxxxxxx
>MR616_chr_266	287598	287861	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>MR616_chr_313	328953	329312	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA	xA
>MR616_chr_316	333319	334215	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT	xxT
>MR616_chr_33	29538	31010	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00049	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx	Tx
>MR616_chr_331	350756	351031	-1	91	Arc-like DNA binding domain	1.5e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxxxAxxx	xxxxxAxxx
>MR616_chr_418	450861	451643	-1	260	ParB-like nuclease domain	5.6e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>MR616_chr_458	493867	494259	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>MR616_chr_705	770797	771198	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx	xxxAx
>MR616_cp26_27	25513	26520	1	335	PIN domain	3.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT?	xT?
>MR616_cp32-12_18	12438	12674	1	78	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	6e-06	A	TASMANIA.A90	A.42391	Hmmer_genes	xxxxxxxxxxxxxxxAxxxxxxxxxxxx	xxxxxxxxxxxxxxxAxxxxxxxxxxxx
>MR616_cp9_2	1260	1820	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.8e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txx	Txx
>MR616_lp17_2	2562	2831	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax	Ax
>MR616_lp28-6_7	5168	5860	1	230	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	2.8e-05	T	TASMANIA.T4	T.51595	Hmmer_genes	xTxxxxxxxxxxxxxxxx	xTxxxxxxxxxxxxxxxx
>MR616_lp36_4	3195	3428	1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	A	A
>MR616_lp54_6	4461	5252	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>MR616_lp54_60	48623	49096	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
