All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GCF_000181855.2_ASM18185v2_genomic
# misassemblies              24                                
  # contig misassemblies     24                                
    # c. relocations         4                                 
    # c. translocations      17                                
    # c. inversions          3                                 
  # scaffold misassemblies   0                                 
    # s. relocations         0                                 
    # s. translocations      0                                 
    # s. inversions          0                                 
# misassembled contigs       14                                
Misassembled contigs length  394426                            
# local misassemblies        10                                
# scaffold gap ext. mis.     0                                 
# scaffold gap loc. mis.     0                                 
# unaligned mis. contigs     3                                 
# mismatches                 12322                             
# indels                     1000                              
    # indels (<= 5 bp)       912                               
    # indels (> 5 bp)        88                                
Indels length                4044                              
