gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>B356_chr_265	287803	288066	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>B356_chr_312	329178	329537	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA	xA
>B356_chr_315	333544	334440	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT	xxT
>B356_chr_32	29576	31057	1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00014	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx	Tx
>B356_chr_414	451069	451851	-1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>B356_chr_452	490569	491852	1	427	PIN domain	5.7e-06	T	TASMANIA.T10	T.58847	Hmmer_genes	xxxxxxxxT	xxxxxxxxT
>B356_chr_454	494075	494467	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>B356_chr_701	770939	771340	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx	xxxAx
>B356_cp26_15	15520	16734	1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT	xT
>B356_cp32-12_16	10486	10722	1	78	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	6e-06	A	TASMANIA.A90	A.42391	Hmmer_genes	?xxxxxxxxxxxxxxxAxxxxxxxxxxxx	?xxxxxxxxxxxxxxxAxxxxxxxxxxxx
>B356_cp32-9_46	30198	30413	-1	71	ParE-like toxin of type II bacterial toxin-antitoxin system	9.7e-06	T	TASMANIA.T9	T.24170	Hmmer_genes	xxxxT?	xxxxT?
>B356_lp17_16	14204	14473	1	89	RelB antitoxin	6.8e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	xA	xA
>B356_lp38_10	10511	11098	-1	195	NikR C terminal nickel binding domain	1.5e-06	A	TASMANIA.A5	A.12688	Hmmer_genes	Axxx	Axxx
>B356_lp54_5	4670	5143	-1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	5.6e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
>B356_lp54_59	48616	49407	-1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	1.2e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
