All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UNY1083P
# misassemblies              28      
  # contig misassemblies     28      
    # c. relocations         4       
    # c. translocations      24      
    # c. inversions          0       
  # scaffold misassemblies   0       
    # s. relocations         0       
    # s. translocations      0       
    # s. inversions          0       
# misassembled contigs       12      
Misassembled contigs length  1177439 
# local misassemblies        12      
# scaffold gap ext. mis.     0       
# scaffold gap loc. mis.     0       
# unaligned mis. contigs     6       
# mismatches                 9947    
# indels                     689     
    # indels (<= 5 bp)       612     
    # indels (> 5 bp)        77      
Indels length                3667    
