All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GCF_000172315.2_ASM17231v2_genomic
# misassemblies              9                                 
  # contig misassemblies     9                                 
    # c. relocations         1                                 
    # c. translocations      8                                 
    # c. inversions          0                                 
  # scaffold misassemblies   0                                 
    # s. relocations         0                                 
    # s. translocations      0                                 
    # s. inversions          0                                 
# misassembled contigs       2                                 
Misassembled contigs length  84535                             
# local misassemblies        6                                 
# scaffold gap ext. mis.     0                                 
# scaffold gap loc. mis.     0                                 
# unaligned mis. contigs     2                                 
# mismatches                 7938                              
# indels                     442                               
    # indels (<= 5 bp)       413                               
    # indels (> 5 bp)        29                                
Indels length                1405                              
