All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     B418PP
# misassemblies              16    
  # contig misassemblies     16    
    # c. relocations         4     
    # c. translocations      12    
    # c. inversions          0     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       8     
Misassembled contigs length  251361
# local misassemblies        7     
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     4     
# mismatches                 10519 
# indels                     632   
    # indels (<= 5 bp)       559   
    # indels (> 5 bp)        73    
Indels length                3259  
