gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>NODE_10_length_14194_cov_329.990225_11	12523	12771	-1	82	YoeB-like toxin of bacterial type II toxin-antitoxin system	2.7e-06	T	TASMANIA.T92	T.21922	Hmmer_genes	T
>NODE_12_length_9925_cov_552.382311_6	4420	4980	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txxxx
>NODE_139_length_367_cov_108.048276_1	3	365	-1	120	ParB family	1.3e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A?
>NODE_17_length_7335_cov_313.063241_2	850	1119	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA
>NODE_17_length_7335_cov_313.063241_5	6238	6507	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?
>NODE_19_length_6686_cov_215.649266_6	4460	5251	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	5.7e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>NODE_1_length_462096_cov_172.227110_110	131852	132253	1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xAxxx
>NODE_1_length_462096_cov_172.227110_357	408833	409225	1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>NODE_1_length_462096_cov_172.227110_397	451450	452232	1	260	ParB-like nuclease domain	1.8e-55	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>NODE_22_length_5654_cov_280.758114_6	3963	4655	1	230	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	3e-05	T	TASMANIA.T4	T.51595	Hmmer_genes	xTxxx?
>NODE_2_length_221274_cov_173.735923_141	147326	147589	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_2_length_221274_cov_173.735923_76	84168	84443	1	91	Arc-like DNA binding domain	3.6e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxAxxxxx
>NODE_2_length_221274_cov_173.735923_91	100972	101868	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx
>NODE_2_length_221274_cov_173.735923_94	105875	106234	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax
>NODE_3_length_213319_cov_167.003892_171	182459	183940	-1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00052	T	TASMANIA.T4	T.2200	Hmmer_genes	xT
>NODE_3_length_213319_cov_167.003892_80	89338	90993	1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx
>NODE_52_length_2051_cov_262.616515_2	220	822	1	200	ParB-like nuclease domain	1e-05	A	TASMANIA.A1	A.678	Hmmer_genes	?xAx?
>NODE_5_length_47384_cov_399.216141_20	18202	18435	-1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	Ax
>NODE_5_length_47384_cov_399.216141_31	28950	29183	1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	xA
>NODE_6_length_47313_cov_210.269646_53	42133	42606	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A
>NODE_8_length_26599_cov_217.070696_25	22697	23911	1	404	PIN domain	6.1e-07	T	TASMANIA.T109	T.34729	Hmmer_genes	xT
>NODE_9_length_16972_cov_258.251850_12	16643	16972	1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	A?
