All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     URI40H
# misassemblies              15    
  # contig misassemblies     15    
    # c. relocations         6     
    # c. translocations      7     
    # c. inversions          2     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       10    
Misassembled contigs length  273034
# local misassemblies        1     
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     1     
# mismatches                 2157  
# indels                     295   
    # indels (<= 5 bp)       256   
    # indels (> 5 bp)        39    
Indels length                1362  
