gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>NODE_10_length_19482_cov_101.873641_19	16022	16255	-1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	A
>NODE_11_length_17772_cov_52.479853_1	1	330	-1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A
>NODE_12_length_16053_cov_138.565473_12	13227	13496	1	89	RelB antitoxin	7.8e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	xA
>NODE_17_length_8257_cov_167.364059_8	6981	7541	1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.8e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	xxT
>NODE_1_length_462014_cov_68.061179_11	9682	10464	-1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>NODE_1_length_462014_cov_68.061179_298	329550	329951	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>NODE_1_length_462014_cov_68.061179_51	52688	53080	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>NODE_2_length_221383_cov_69.548282_141	147417	147680	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_2_length_221383_cov_69.548282_91	101088	101984	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx
>NODE_2_length_221383_cov_69.548282_94	105982	106341	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax
>NODE_3_length_213379_cov_63.763607_171	182317	183789	-1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00025	T	TASMANIA.T4	T.2200	Hmmer_genes	xT
>NODE_3_length_213379_cov_63.763607_80	89182	90837	1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx
>NODE_4_length_109480_cov_79.764522_59	48553	49344	-1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	5.7e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>NODE_4_length_109480_cov_79.764522_72	60137	60928	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	5.7e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>NODE_8_length_26583_cov_118.365049_14	12144	13358	-1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx
