All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GCF_000166655.1_ASM16665v1_genomic
# misassemblies              29                                
  # contig misassemblies     29                                
    # c. relocations         3                                 
    # c. translocations      26                                
    # c. inversions          0                                 
  # scaffold misassemblies   0                                 
    # s. relocations         0                                 
    # s. translocations      0                                 
    # s. inversions          0                                 
# misassembled contigs       11                                
Misassembled contigs length  1245026                           
# local misassemblies        24                                
# scaffold gap ext. mis.     0                                 
# scaffold gap loc. mis.     0                                 
# unaligned mis. contigs     3                                 
# mismatches                 13255                             
# indels                     834                               
    # indels (<= 5 bp)       763                               
    # indels (> 5 bp)        71                                
Indels length                3779                              
