gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>B477_chr_125	122477	124132	-1	551	RelB antitoxin	5.3e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx	xxxAxxxxxx
>B477_chr_268	287743	288006	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>B477_chr_315	329098	329457	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA	xA
>B477_chr_319	333454	334350	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxxT	xxxT
>B477_chr_33	29537	31009	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00049	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx	Tx
>B477_chr_334	350891	351166	-1	91	Arc-like DNA binding domain	1.5e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxxxAxxx	xxxxxAxxx
>B477_chr_420	450991	451773	-1	260	ParB-like nuclease domain	5.6e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>B477_chr_460	494001	494390	-1	129	PIN domain	5.7e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>B477_chr_709	770998	771399	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx	xxxAx
>B477_chr_779	845868	846950	1	360	"ParE toxin of type II toxin-antitoxin system, parDE"	5.1e-06	T	TASMANIA.T42	T.41489	Hmmer_genes	xxxTxx	xxxTxx
>B477_cp26_26	24185	25399	1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT	xT
>B477_cp32-12_2	661	897	-1	78	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	6e-06	A	TASMANIA.A90	A.42391	Hmmer_genes	?xAxxxxxxxxxxxxxxx	?xAxxxxxxxxxxxxxxx
>B477_cp32-5_36	26980	27501	-1	173	"ParE toxin of type II toxin-antitoxin system, parDE"	7e-07	T	TASMANIA.T86	T.17765	Hmmer_genes	T	T
>B477_cp9_7	4587	5147	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txxx	Txxx
>B477_lp17_2	2557	2826	-1	89	RelB antitoxin	4.4e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax	Ax
>B477_lp28-6_24	20840	21532	-1	230	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	3e-05	T	TASMANIA.T4	T.51595	Hmmer_genes	xxxxxxxxxxxxxxxxTx	xxxxxxxxxxxxxxxxTx
>B477_lp54_6	4710	5501	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	9.9e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>B477_lp54_60	48862	49335	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	5.4e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
