gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>NODE_13_length_11868_cov_96.180053_12	11052	11639	1	195	NikR C terminal nickel binding domain	7.4e-06	A	TASMANIA.A5	A.12688	Hmmer_genes	xxxA?
>NODE_16_length_9716_cov_501.136321_7	4737	5297	1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	xxxT
>NODE_187_length_261_cov_0.793478_1	3	260	-1	85	ParB-like nuclease domain	1.6e-07	A	TASMANIA.A1	A.40968	Hmmer_genes	?A?
>NODE_1_length_403369_cov_66.716392_1	3	458	-1	151	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.0017	T	TASMANIA.T130	T.5461	Hmmer_genes	?Txxxx
>NODE_1_length_403369_cov_66.716392_316	350293	350685	1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>NODE_1_length_403369_cov_66.716392_356	392909	393691	1	260	ParB-like nuclease domain	4.8e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>NODE_1_length_403369_cov_66.716392_69	73398	73799	1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xAxxx
>NODE_21_length_7317_cov_171.072238_2	821	1090	1	89	RelB antitoxin	7.8e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA
>NODE_21_length_7317_cov_171.072238_5	6207	6476	-1	89	RelB antitoxin	7.8e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?
>NODE_22_length_6879_cov_104.529844_1	1	330	-1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A
>NODE_27_length_5567_cov_106.615847_6	3853	4545	1	230	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	2.8e-05	T	TASMANIA.T4	T.51595	Hmmer_genes	xTxxx?
>NODE_28_length_5396_cov_111.764706_7	4152	4796	1	214	ParB-like nuclease domain	7.2e-06	A	TASMANIA.A25	A.17865	Hmmer_genes	A
>NODE_2_length_221398_cov_67.301652_111	115040	115399	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA
>NODE_2_length_221398_cov_67.301652_114	119397	120293	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT
>NODE_2_length_221398_cov_67.301652_129	136837	137112	-1	91	Arc-like DNA binding domain	1.5e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxxxAxxx
>NODE_2_length_221398_cov_67.301652_64	73685	73948	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>NODE_3_length_213244_cov_62.246736_171	182314	183795	-1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00014	T	TASMANIA.T4	T.2200	Hmmer_genes	xT
>NODE_3_length_213244_cov_62.246736_80	89186	90841	1	551	RelB antitoxin	2e-06	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx
>NODE_5_length_53796_cov_96.931216_6	4460	5251	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	1.2e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>NODE_5_length_53796_cov_96.931216_60	48616	49089	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.7e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A
>NODE_6_length_25078_cov_139.104516_4	3738	4952	1	404	PIN domain	7.5e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT
