gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>contig000001_123	122480	124135	-1	551	0	antitoxin	5.4e-07	0	TASMANIA.A11	A.36188	xxx5.4e-07xxxxxx	xxx5.4e-07xxxxxx
>contig000001_265	287267	287530	-1	87	0	family	0.00044	0	TASMANIA.T11	T.23429	xxxxxxxxxx0.00044xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	xxxxxxxxxx0.00044xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>contig000001_312	328606	328965	1	119	0	antitoxin	1.3e-07	0	TASMANIA.A116	A.58654	x1.3e-07	x1.3e-07
>contig000001_315	332963	333859	-1	298	0	RelE-like	toxic	0	of	a	xxtoxic	xxtoxic
>contig000001_32	29528	31000	1	490	0	toxin	of	0	II	toxin-antitoxin	ofx	ofx
>contig000001_417	450486	451268	-1	260	0	nuclease	domain	0	A	TASMANIA.A1	domain	domain
>contig000001_457	493492	493884	-1	130	0	domain	5.9e-08	0	TASMANIA.T89	T.19597	5.9e-08	5.9e-08
>contig000001_704	770354	770755	-1	133	0	nuclease	domain	0	A	TASMANIA.A67	xxxdomainx	xxxdomainx
>contig000002_7	5405	6196	1	263	0	toxin	of	0	II	toxin-antitoxin	of	of
>contig000009_7	5797	6030	1	77	0	Phd_YefM,	type	0	toxin-antitoxin	system"	type	type
>contig000014_26	23854	25068	1	404	0	domain	2.9e-06	0	TASMANIA.T109	T.34729	x2.9e-06	x2.9e-06
>contig000015_2	2578	2847	-1	89	0	antitoxin	7.8e-06	0	TASMANIA.A11	A.21775	7.8e-06x	7.8e-06x
>contig000016_6	6064	6624	-1	186	0	toxin	of	0	II	toxin-antitoxin	ofxxx?	ofxxx?
