gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>NODE_12_length_16984_cov_172.620808_12	16655	16984	1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	A?
>NODE_13_length_14187_cov_462.241318_3	1423	1671	1	82	YoeB-like toxin of bacterial type II toxin-antitoxin system	2.7e-06	T	TASMANIA.T92	T.21922	Hmmer_genes	T
>NODE_17_length_7333_cov_478.155733_2	829	1098	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA
>NODE_17_length_7333_cov_478.155733_5	6215	6484	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?
>NODE_1_length_463767_cov_149.451627_10	9867	10649	-1	260	ParB-like nuclease domain	1.8e-55	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>NODE_1_length_463767_cov_149.451627_297	329778	330179	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>NODE_1_length_463767_cov_149.451627_50	52874	53266	-1	130	PIN domain	2.1e-07	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>NODE_2_length_221586_cov_151.455981_111	115454	115813	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA
>NODE_2_length_221586_cov_151.455981_114	119820	120716	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT
>NODE_2_length_221586_cov_151.455981_129	137245	137520	-1	91	Arc-like DNA binding domain	3.6e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxxxAxxx
>NODE_2_length_221586_cov_151.455981_64	74100	74363	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>NODE_3_length_213127_cov_147.507134_123	122331	123986	-1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx
>NODE_3_length_213127_cov_147.507134_32	29379	30860	1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.0004	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx
>NODE_4_length_53880_cov_173.139658_6	4460	5251	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>NODE_6_length_30094_cov_260.606057_17	15411	15644	1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	xA
>NODE_7_length_26591_cov_199.772950_3	3283	4497	-1	404	PIN domain	6.1e-07	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx
>NODE_94_length_503_cov_256.462441_1	3	503	-1	166	ParB-like nuclease domain	6.4e-06	A	TASMANIA.A25	A.17865	Hmmer_genes	?A?
>NODE_96_length_500_cov_0.962175_3	284	454	1	56	"ParE toxin of type II toxin-antitoxin system, parDE"	2e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	?xxT?
>NODE_9_length_23614_cov_594.165272_22	19153	19845	-1	230	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	3e-05	T	TASMANIA.T4	T.51595	Hmmer_genes	xxxxxxxxxxxxxxxxTx
