gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>NODE_134_length_367_cov_169.634483_1	3	365	1	120	ParB family	1.3e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A?
>NODE_17_length_10604_cov_187.001235_3	1924	2439	1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A
>NODE_17_length_10604_cov_187.001235_8	8166	8681	-1	171	ParB family	4e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A
>NODE_1_length_353803_cov_147.559402_182	214192	214593	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>NODE_20_length_7323_cov_513.650842_2	842	1111	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA
>NODE_20_length_7323_cov_513.650842_5	6234	6503	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?
>NODE_2_length_221422_cov_152.322731_141	147437	147700	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_2_length_221422_cov_152.322731_91	101094	101990	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx
>NODE_2_length_221422_cov_152.322731_94	105988	106347	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax
>NODE_3_length_213479_cov_144.050604_171	182426	183898	-1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00014	T	TASMANIA.T4	T.2200	Hmmer_genes	xT
>NODE_3_length_213479_cov_144.050604_80	89293	90948	1	551	RelB antitoxin	9.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx
>NODE_4_length_115453_cov_158.089932_12	9674	10456	-1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>NODE_4_length_115453_cov_158.089932_52	52685	53077	-1	130	PIN domain	2.1e-07	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>NODE_5_length_53715_cov_239.551829_60	48536	49009	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A
>NODE_5_length_53715_cov_239.551829_7	5409	6200	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>NODE_7_length_36864_cov_198.328975_1	1	330	-1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A
>NODE_7_length_36864_cov_198.328975_28	36535	36864	1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	A?
>NODE_91_length_484_cov_1.395577_1	2	286	-1	94	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	2.5e-06	T	TASMANIA.T4	T.51595	Hmmer_genes	?T?
>NODE_9_length_26575_cov_252.208506_22	19601	20815	-1	404	PIN domain	3.5e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx
