gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>contig000001_124	122483	124138	-1	551	RelB antitoxin	1.6e-06	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx
>contig000001_266	287920	288183	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>contig000001_313	329272	329631	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA
>contig000001_316	333629	334525	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT
>contig000001_33	29542	31014	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	8.9e-05	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx
>contig000001_417	451151	451933	-1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>contig000001_457	494159	494551	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>contig000001_704	771046	771447	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>contig000001_769	841733	842350	1	205	"Toxin with endonuclease activity, of toxin-antitoxin system"	5e-06	T	TASMANIA.T24	T.8748	Hmmer_genes	xT
>contig000002_58	47449	48240	-1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>contig000015_13	10426	11640	-1	404	PIN domain	3e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx
>contig000018_2	783	1052	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA
>contig000018_3	6177	6446	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax
