gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>contig000001_124	122479	124134	-1	551	RelB antitoxin	5.3e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx	xxxAxxxxxx
>contig000001_266	287747	288010	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>contig000001_313	329102	329461	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA	xA
>contig000001_316	333459	334355	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT	xxT
>contig000001_33	29538	31010	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00049	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx	Tx
>contig000001_331	350896	351171	-1	91	Arc-like DNA binding domain	1.5e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxxxAxxx	xxxxxAxxx
>contig000001_417	450996	451778	-1	260	ParB-like nuclease domain	5.6e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>contig000001_457	494006	494398	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>contig000001_704	771005	771406	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx	xxxAx
>contig000002_6	4709	5500	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	9.9e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>contig000002_60	48841	49314	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	5.4e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
>contig000004_22	17692	18213	-1	173	"ParE toxin of type II toxin-antitoxin system, parDE"	7e-07	T	TASMANIA.T86	T.17765	Hmmer_genes	T	T
>contig000007_20	14481	14717	1	78	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	6e-06	A	TASMANIA.A90	A.42391	Hmmer_genes	xxxxxxxxxxxxxxxAxxxxxxxxxxxx	xxxxxxxxxxxxxxxAxxxxxxxxxxxx
>contig000009_11	10490	11704	1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT	xT
>contig000012_6	4406	5098	1	230	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	3e-05	T	TASMANIA.T4	T.51595	Hmmer_genes	xTxxxxxxxxxxxxxxxx	xTxxxxxxxxxxxxxxxx
>contig000015_16	15511	15780	1	89	RelB antitoxin	4.4e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	xA	xA
>contig000018_4	2212	2772	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.8e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txx	Txx
>contig000049_2	184	543	-1	119	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	2.8e-06	A	TASMANIA.A111	A.5411	Hmmer_genes	?xA?	?xA?
