gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>contig000001_124	122342	123997	-1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx
>contig000001_267	287289	287552	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>contig000001_314	328644	329003	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA
>contig000001_317	333010	333906	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT
>contig000001_33	29404	30876	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00037	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx
>contig000001_416	450523	451305	-1	260	ParB-like nuclease domain	2.1e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>contig000001_456	493536	493928	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>contig000001_703	770387	770788	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>contig000003_6	4398	5189	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>contig000003_60	48608	49081	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.7e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A
>contig000005_12	10187	10456	1	89	YoeB-like toxin of bacterial type II toxin-antitoxin system	4e-06	T	TASMANIA.T92	T.21922	Hmmer_genes	xT
>contig000005_30	26365	29046	-1	893	PIN domain	2.3e-11	T	TASMANIA.T109	T.34729	Hmmer_genes	xxxxTxxxx?
>contig000008_11	10227	11441	1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT
>contig000014_10	8151	8711	1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.8e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	xxT?
