All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GCF_000171735.2_ASM17173v2_genomic
# misassemblies              16                                
  # contig misassemblies     16                                
    # c. relocations         3                                 
    # c. translocations      12                                
    # c. inversions          1                                 
  # scaffold misassemblies   0                                 
    # s. relocations         0                                 
    # s. translocations      0                                 
    # s. inversions          0                                 
# misassembled contigs       9                                 
Misassembled contigs length  502351                            
# local misassemblies        7                                 
# scaffold gap ext. mis.     0                                 
# scaffold gap loc. mis.     0                                 
# unaligned mis. contigs     7                                 
# mismatches                 9924                              
# indels                     514                               
    # indels (<= 5 bp)       471                               
    # indels (> 5 bp)        43                                
Indels length                2183                              
