gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>contig000001_124	122491	124146	-1	551	RelB antitoxin	9.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx	xxxAxxxxxx
>contig000001_266	287750	288013	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>contig000001_313	329103	329462	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA	xA
>contig000001_316	333460	334356	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT	xxT
>contig000001_33	29544	31016	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00014	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx	Tx
>contig000001_419	450982	451764	-1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>contig000001_459	493993	494385	-1	130	PIN domain	2.1e-07	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>contig000001_706	770999	771400	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx	xxxAx
>contig000003_60	48465	48938	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.5e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
>contig000003_7	5349	6140	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>contig000007_26	25329	25844	1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A	A
>contig000007_31	31571	32086	-1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A	A
>contig000016_14	12548	13762	-1	404	PIN domain	3.5e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx	Tx
>contig000017_2	802	1071	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA	?xA
>contig000017_3	6194	6463	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax	Ax
