All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GCF_000166635.1_ASM16663v1_genomic
# misassemblies              15                                
  # contig misassemblies     15                                
    # c. relocations         4                                 
    # c. translocations      11                                
    # c. inversions          0                                 
  # scaffold misassemblies   0                                 
    # s. relocations         0                                 
    # s. translocations      0                                 
    # s. inversions          0                                 
# misassembled contigs       8                                 
Misassembled contigs length  249274                            
# local misassemblies        6                                 
# scaffold gap ext. mis.     0                                 
# scaffold gap loc. mis.     0                                 
# unaligned mis. contigs     4                                 
# mismatches                 9965                              
# indels                     588                               
    # indels (<= 5 bp)       524                               
    # indels (> 5 bp)        64                                
Indels length                3233                              
