gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>NODE_12_length_16960_cov_201.444648_12	16631	16960	1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	A?	A?
>NODE_13_length_14194_cov_209.450308_11	12523	12771	-1	82	YoeB-like toxin of bacterial type II toxin-antitoxin system	2.7e-06	T	TASMANIA.T92	T.21922	Hmmer_genes	T	T
>NODE_19_length_7333_cov_192.694873_2	850	1119	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA	?xA
>NODE_19_length_7333_cov_192.694873_5	6236	6505	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?	Ax?
>NODE_1_length_464414_cov_145.185729_111	134229	134630	1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xAxxx	xAxxx
>NODE_1_length_464414_cov_145.185729_358	411151	411543	1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>NODE_1_length_464414_cov_145.185729_398	453768	454550	1	260	ParB-like nuclease domain	1.8e-55	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>NODE_2_length_221274_cov_145.540672_141	147326	147589	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_2_length_221274_cov_145.540672_76	84168	84443	1	91	Arc-like DNA binding domain	3.6e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxAxxxxx	xxxAxxxxx
>NODE_2_length_221274_cov_145.540672_91	100972	101868	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx	Txx
>NODE_2_length_221274_cov_145.540672_94	105875	106234	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax	Ax
>NODE_3_length_213466_cov_140.234815_171	182606	184087	-1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00052	T	TASMANIA.T4	T.2200	Hmmer_genes	xT	xT
>NODE_3_length_213466_cov_140.234815_80	89485	91140	1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx	xxxxxxAxxx
>NODE_4_length_53873_cov_162.760744_6	4458	5249	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	5.7e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>NODE_4_length_53873_cov_162.760744_60	48693	49166	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
>NODE_7_length_25314_cov_363.785315_24	20834	21526	-1	230	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	3e-05	T	TASMANIA.T4	T.51595	Hmmer_genes	xxxxxxxxxxxxxxxxTx	xxxxxxxxxxxxxxxxTx
>NODE_8_length_25098_cov_202.304344_4	3686	4900	1	404	PIN domain	6.1e-07	T	TASMANIA.T109	T.34729	Hmmer_genes	xT	xT
>NODE_9_length_22558_cov_260.866376_19	17100	17333	-1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	Ax	Ax
