gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>NODE_10_length_22766_cov_227.061_19	17234	17467	-1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	Ax
>NODE_12_length_17858_cov_105.747_16	14971	15243	1	90	RelB antitoxin	6.5e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	xA
>NODE_1_length_923130_cov_25.793_125	152145	152546	1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xAxxx
>NODE_1_length_923130_cov_25.793_372	429042	429434	1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>NODE_1_length_923130_cov_25.793_412	471648	472430	1	260	ParB-like nuclease domain	2.1e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>NODE_1_length_923130_cov_25.793_512	589065	589961	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx
>NODE_1_length_923130_cov_25.793_515	593968	594327	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax
>NODE_1_length_923130_cov_25.793_562	635416	635679	1	87	Hok/gef family	3.9e-05	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_1_length_923130_cov_25.793_704	799140	800795	1	551	RelB antitoxin	1.6e-06	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx
>NODE_1_length_923130_cov_25.793_795	892270	893751	-1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00052	T	TASMANIA.T4	T.2200	Hmmer_genes	xT
>NODE_3_length_53015_cov_65.2841_59	47810	48283	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A
>NODE_3_length_53015_cov_65.2841_6	4703	5494	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	0.00019	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>NODE_6_length_32346_cov_310.733_10	4297	4917	1	206	"PemK-like, MazF-like toxin of type II toxin-antitoxin system"	3.1e-05	T	TASMANIA.T57	T.56898	Hmmer_genes	T
>NODE_9_length_25159_cov_54.5037_23	20209	21423	-1	404	PIN domain	3.4e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx
