All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GCF_000021405.1_ASM2140v1_genomic
# misassemblies              7                                
  # contig misassemblies     7                                
    # c. relocations         2                                
    # c. translocations      5                                
    # c. inversions          0                                
  # scaffold misassemblies   0                                
    # s. relocations         0                                
    # s. translocations      0                                
    # s. inversions          0                                
# misassembled contigs       5                                
Misassembled contigs length  1012994                          
# local misassemblies        6                                
# scaffold gap ext. mis.     0                                
# scaffold gap loc. mis.     0                                
# unaligned mis. contigs     2                                
# mismatches                 6496                             
# indels                     484                              
    # indels (<= 5 bp)       424                              
    # indels (> 5 bp)        60                               
Indels length                3091                             
