gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>NODE_124_length_381_cov_1.618421_1	2	280	-1	92	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	2.5e-06	T	TASMANIA.T4	T.51595	Hmmer_genes	?Tx?
>NODE_131_length_367_cov_239.882759_1	3	365	-1	120	ParB family	1.3e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A?
>NODE_18_length_8452_cov_164.965731_3	848	1363	1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A
>NODE_18_length_8452_cov_164.965731_8	7090	7605	-1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A
>NODE_1_length_353803_cov_160.824152_182	214192	214593	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>NODE_21_length_7323_cov_635.500966_2	842	1111	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA
>NODE_21_length_7323_cov_635.500966_5	6234	6503	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?
>NODE_2_length_221425_cov_165.752503_141	147440	147703	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_2_length_221425_cov_165.752503_91	101097	101993	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx
>NODE_2_length_221425_cov_165.752503_94	105991	106350	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax
>NODE_3_length_213476_cov_158.200891_171	182423	183895	-1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00014	T	TASMANIA.T4	T.2200	Hmmer_genes	xT
>NODE_3_length_213476_cov_158.200891_80	89293	90948	1	551	RelB antitoxin	9.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx
>NODE_4_length_115453_cov_171.839819_12	9674	10456	-1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>NODE_4_length_115453_cov_171.839819_52	52685	53077	-1	130	PIN domain	2.1e-07	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>NODE_5_length_53715_cov_277.865021_60	48536	49009	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A
>NODE_5_length_53715_cov_277.865021_7	5409	6200	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>NODE_7_length_36864_cov_232.169951_1	1	330	-1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A
>NODE_7_length_36864_cov_232.169951_28	36535	36864	1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	A?
>NODE_9_length_26575_cov_284.809382_21	19875	21089	1	404	PIN domain	3.5e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT
