All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GCF_024662175.1_ASM2466217v1_genomic
# misassemblies              18                                  
  # contig misassemblies     18                                  
    # c. relocations         5                                   
    # c. translocations      13                                  
    # c. inversions          0                                   
  # scaffold misassemblies   0                                   
    # s. relocations         0                                   
    # s. translocations      0                                   
    # s. inversions          0                                   
# misassembled contigs       10                                  
Misassembled contigs length  1203046                             
# local misassemblies        14                                  
# scaffold gap ext. mis.     0                                   
# scaffold gap loc. mis.     0                                   
# unaligned mis. contigs     3                                   
# mismatches                 10473                               
# indels                     644                                 
    # indels (<= 5 bp)       577                                 
    # indels (> 5 bp)        67                                  
Indels length                4262                                
