gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>NODE_10_length_16971_cov_110.574879_1	1	330	-1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A
>NODE_12_length_14187_cov_135.914033_3	1423	1671	1	82	YoeB-like toxin of bacterial type II toxin-antitoxin system	2.7e-06	T	TASMANIA.T92	T.21922	Hmmer_genes	T
>NODE_15_length_9732_cov_58.907820_8	4753	5313	1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	xxxxT
>NODE_19_length_7333_cov_127.099090_2	829	1098	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA
>NODE_19_length_7333_cov_127.099090_5	6215	6484	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?
>NODE_1_length_463767_cov_63.906955_10	9867	10649	-1	260	ParB-like nuclease domain	1.8e-55	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>NODE_1_length_463767_cov_63.906955_297	329778	330179	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>NODE_1_length_463767_cov_63.906955_50	52874	53266	-1	130	PIN domain	2.1e-07	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>NODE_2_length_221463_cov_64.827866_141	147224	147487	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_2_length_221463_cov_64.827866_76	84067	84342	1	91	Arc-like DNA binding domain	3.6e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxAxxxxx
>NODE_2_length_221463_cov_64.827866_91	100871	101767	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx
>NODE_2_length_221463_cov_64.827866_94	105774	106133	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax
>NODE_3_length_213477_cov_61.685726_171	182547	184028	-1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.0004	T	TASMANIA.T4	T.2200	Hmmer_genes	xT
>NODE_3_length_213477_cov_61.685726_80	89421	91076	1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx
>NODE_4_length_53888_cov_82.212373_6	4460	5251	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>NODE_6_length_26591_cov_89.420608_2	1800	3014	1	404	PIN domain	6.1e-07	T	TASMANIA.T109	T.34729	Hmmer_genes	?xT
>NODE_7_length_23546_cov_212.546806_6	3768	4460	1	230	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	3e-05	T	TASMANIA.T4	T.51595	Hmmer_genes	xTxxxxxxxxxxxxxxxx
>NODE_8_length_21901_cov_120.959448_16	13872	14105	-1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	Ax
>NODE_91_length_503_cov_126.753521_1	1	501	1	166	ParB-like nuclease domain	6.4e-06	A	TASMANIA.A25	A.17865	Hmmer_genes	?A?
